=== ren (ren) 剧情配音文本 ===
共计 983 句台词

[ren001_001] うん？なんだ、芦花姉
[ren507_012] しっかし……ようやく気付いたのか
[ren507_013] 俺はすぐにわかったけどな
[ren507_014] わかりやすいんだよ、あのペタン子
[ren507_015] まあ、あんなペタン子でも妹は妹だからな
[ren507_018] まあいいや。そこら辺は俺が口を出しても仕方ないしな
[ren507_019] とりあえず、フるのは仕方ないとしても……ヤり捨てとかはするなよ？
[ren507_020] ならいいや。後は当人同士の問題だしな、俺が首を突っ込む話じゃない
[ren508_001] おっ。やってるなー
[ren508_002] 遊びにきたぞー
[ren508_003] 別に邪魔するつもりはないっての。それより話には聞いてたんだけど、珈琲を始めたんだろ？
[ren508_004] ああ。ここの所は顔出す機会もなかったから
[ren508_005] つーわけで、そこの店員。珈琲を頼むわ
[ren508_006] 煎餅？そんなものまで増えたのか？
[ren508_007] ほほー。それは興味深いな。いただこう
[ren508_008] でも煎餅となると、やっぱり飲み物が欲しいな。店員さん、珈琲まだー？
[ren508_009] おっ、いい匂いだな。いただきます……ずずっ
[ren508_010] へぇー、なるほど。結構イケるな
[ren508_012] 無い胸を張っても仕方ないだろ、ペタン子
[ren508_013] へいへい
[ren508_015] だからなんでお前が――
[ren508_016] って、え？コレを焼いたのは本当に将臣なのか？
[ren508_017] マジか……驚いた。意外な才能だな。美味いよ
[ren508_018] 世辞でもなんでもなく美味い
[ren511_001] お子様は気楽だなぁ……
[ren511_002] 誰がそんなことするか。お前らが歩くのが遅いんだよ。ただ偶然追いついただけだ
[ren511_003] にしても……お前ら、いい歳なんだから、もうちょっと恋人って関係について、考えてみたらどうだ？
[ren511_004] お互いに“可愛い”“格好いい”なんて褒め合って満足してるだけのお子様だと、すぐに破局するぞ？
[ren511_005] 別に煽ってるとか、意地悪で言ってるわけじゃないぞ。結構マジな話だから
[ren511_006] 小春は言わずもがな、将臣だって恋人を作るなんて初めてなんだろ？
[ren511_007] 初めて同士の場合、付き合いの深め方もわかんないだろ？
[ren511_008] はぁ？俺は付き合いの深め方って言ったんだよ。ワザと誤解させるような言い回しでもないのに
[ren511_009] 朝っぱらから何を想像してるのか……エロいのはどっちなんだろうなー、ぷぷぷっ
[ren511_010] まっ、マジで茶化すつもりはないんだけどな
[ren511_011] 手を繋いだり、腕を組んだり、キスしたりってだけでも、どうすればいいのか悩むだろ、お前ら
[ren511_012] 元々、従兄妹だからな。親類として相手のことをよく知っている分、恋人に変化するのが普通よりも難しいと思うんだ
[ren511_013] 仲のいい恋人なら、こうして一緒に登校する時点で、手を繋いだりするもんだぞ？
[ren511_014] ……ジー……
[ren511_015] 手を繋ぐだけでそんなこと言ってたら、セックスの時にはもっと大変なことになるぞ？
[ren511_016] そうは言うがな、初体験で失敗すると結構なトラウマになるんだぞ？
[ren511_017] 人生で一度きりのことなんだ。できることなら、幸せな思い出にしたいだろ？
[ren511_018] そういう兄の優しさで、心配してやってるんだぞ、妹よ
[ren511_019] まっ、それもあるけどな
[ren511_020] けど、失敗はしない方がいいってのは本当だぞ、マジで
[ren511_021] 最初は慣れてなくて、でも興奮はしまくりで……みこすり半どころか、挿れる前に……くっ
[ren511_022] あんときはタチ直るのに苦労したぜ
[ren511_023] お前意外と下ネタに食いつくな
[ren511_024] とにかくだな。お互いをよく知ってる分、内面も良くわかってるからな。でも、従兄妹と恋人は全然違う
[ren511_025] 従兄妹で満足してたら、恋人としては手遅れになるぞ、って忠告だよ
[ren511_026] そりゃな。どっちのことも知ってるのに、不幸になれとは思えないだろ、普通
[ren511_027] まっ、俺も深く首を突っ込むつもりはない。っていうか、従兄と妹の恋愛なんて大して興味もないよ
[ren511_028] とりあえず、恋人って関係について、真面目に考えた方がいいぞ
[ren511_030] 気持ち悪い。今日は雪がふるかもなー、はっはっはー
[ren512_001] お？揃ってこんなところでどうしたんだ？
[ren512_002] ああ。ようやく終わって帰るところだけど……お前らは？
[ren512_003] ほっほーぅ。まさかそこまで本気だとは……
[ren512_004] で、祖父ちゃんはなんて？
[ren512_005] 祖父ちゃんらしいな
[ren512_006] あー……それも祖父ちゃんらしいな
[ren512_007] やだなー……結婚の挨拶とかしに行ったら、俺もそんなことをさせられるのかなー
[ren512_008] なんだと、このペタン子
[ren512_009] なんだ、その余裕は
[ren512_010] ……ふっ。将臣は優しいからな。ただ、お前のことを慮ってるだけだよ
[ren512_011] お前、本当にいいのか？こんな奴と結婚とか言っちゃって
[ren512_012] 可愛げもないし、ペタン子だし
[ren512_013] あと結婚したら、お前は俺の事を“お義兄さん”と呼ぶんだぞ？
[ren512_014] そこまで真顔で嫌だとか言われたら、俺の方が傷つくわ
[ren512_016] バーカ、それ本人に言えよ
[ren512_017] 悪かったな、将臣のプロポーズは俺が先にゲットだ
[ren512_018] あっはっはっは。さてと、将臣に押し倒されないうちに、俺は帰る！
[ren512_019] お前らはどうせアレだろ？祖父ちゃんに認めてもらえて嬉しいから、もう少しゆっくりしてから帰るんだろ？
[ren512_020] 俺は先に帰る。母さんには……まあ、適当に言っといてやるよ。じゃあな
