=== mur (mur) 剧情配音文本 ===
共计 3300 句台词

[mur001_001] ふむ。お主が、吾輩のご主人か？
[mur304_055] だから、元気を出すのだ、ご主人
[mur304_056] 何だ？
[mur304_057] そうか、それは何よりだ
[mur304_058] そうか……
[mur304_059] ご主人がそこまで言ってくれるのは、吾輩も嬉しい
[mur304_060] 礼を言うぞ、ご主人
[mur304_061] ……か、顔が近いぞ
[mur304_062] あ、謝らずとも良い
[mur304_063] ご主人なら、許す……
[mur304_064] こ、こほん、ご主人の気持ちはわかった
[mur304_065] 吾輩も穂織が好きなのは同じだ。協力しよう
[mur304_066] この町で最古参である、吾輩に任せるが良いぞ
[mur304_067] 何で急に体育会系なのだ？！
[mur304_068] ぷっ、くくく……
[mur305_001] しかし、ご主人、それはもうすでにやっておるぞ
[mur305_002] 叢雨丸に代わる売りが必要なのだ
[mur305_003] 食べ物ではなく、やはり催し物ではないだろうか
[mur305_004] は？
[mur305_005] 誰がやるのだ、それを
[mur305_006] おいおいご主人……
[mur305_007] ご主人は今、芳乃や茉子のことを考えておるのだろうが
[mur305_008] それを頼めるのか？吾輩でも無理だぞ
[mur305_009] そうであろう
[mur305_010] ご主人は、発想が世俗に毒されておるぞ
[mur305_011] だから、毒されておるぞ、ご主人！
[mur305_012] 穂織は独自の文化を形成しておる
[mur305_013] あくまでも、そこを売りにせねばならないだろう
[mur305_014] 短絡的なことをしても、以前のように長期に渡っては集客は望めん
[mur305_015] まあ、そんなに落ち込むでない、ご主人
[mur305_016] 穂織のことをよく知らないご主人
[mur305_017] そして、穂織を知り尽くしている吾輩
[mur305_018] その二人が組めば必ず妙案は浮かぶであろう
[mur305_019] つまり、吾輩のような土地の者には当たり前の物でも
[mur305_020] ご主人のような、外から来た者にとっては珍しい物があるやもしれん
[mur305_021] 吾輩とご主人が組んで、初めてそういった物を見つけられると思わんか？
[mur305_022] 少しは元気が出たか、ご主人
[mur305_023] ご主人、その発言も世俗に……
[mur305_024] まあ、そうじゃがな
[mur305_025] うむ、心得た
[mur305_026] わかった、ご主人
[mur305_027] ご主人、どうした？ちょっと浮かれておるな
[mur305_028] 吾輩にはよくわからんが、そうなのか？
[mur305_029] 星の数など、多すぎて数える気にもならんぞ
[mur305_030] 真か？それはわびしい夜空じゃのう
[mur305_031] ほとんど真っ暗ではないか
[mur305_032] うむ、案のひとつではあるが……
[mur305_033] そういうのはすでに、他の土地でやってそうじゃのう
[mur305_034] 穂織の星空は確かに、綺麗だが大きな特色はない
[mur305_035] 流れ星がよく見えるとか、そういう売りが必要であろう？
[mur305_036] ご主人、危ない！
[mur305_037] ないすではない
[mur305_038] 注意不足だぞ、気をつけろ、ご主人
[mur305_039] 怪我をしたら、町おこしどころではなくなるぞ
[mur305_041] わ、わかれば、良い
[mur305_044] お、おはようなのだ、レナ
[mur305_045] レナ、違うのだ！これはご主人が転びかけて
[mur305_046] 誤解するでない、レナ！
[mur305_047] ……どうするのだ、ご主人
[mur305_048] レナは確実に吾輩とご主人が、すてでーな仲だと勘違いしたぞ
[mur305_049] 発音などどうでも良いわ！
[mur305_050] 明日、学院でちゃんと誤解を解くのだぞ、ご主人
[mur305_051] では、行くか
[mur305_052] ご主じーん！
[mur305_053] イワナがおるぞ！小さい蟹もおる！
[mur305_054] 何を言うておる、ご主人
[mur305_055] 吾輩はご主人以外には何にも触れられんのだぞ
[mur305_056] 冷たいも温かいもないのだ
[mur305_057] 水の感触もまるでせん
[mur305_058] こら、ご主人
[mur305_059] 何をうつむいておる、顔を上げい
[mur305_060] 胸を張るのだ！
[mur305_061] ご主人は喜怒哀楽がすぐに顔に出るのう
[mur305_062] そうじゃ、それだけ素直ということでもあるがな
[mur305_063] それは美徳だ。大事にせよ
[mur305_064] それに吾輩は何も気にしとらん。だから、ご主人も気にするな
[mur305_065] むしろご主人が来たおかげで、今までよりずっと吾輩は日々を楽しんでおる
[mur305_066] だから、ご主人にはもっと胸を張って生きて欲しいぞ
[mur305_067] 玄十郎とて、生まれた時からああではなかったぞ
[mur305_068] ご主人と同じ歳の頃は、普通に色々と悩んだりもしておった
[mur305_069] あれであやつも意外に繊細なのだ。吾輩は見ていて気をもんだことがある
[mur305_070] もっとも吾輩は声もかけられんから、見ておっただけだがな
[mur305_071] 芳乃や茉子は特別だ
[mur305_072] 生まれが違うのだ。ご主人の年頃なら、まだ先の事など見えていないのが普通だ
[mur305_073] 案ずることはない。ご主人なら大丈夫じゃ
[mur305_074] この穂織の地に、平穏をもたらしたのだぞ
[mur305_075] ご主人は前途洋洋な若者じゃ、吾輩が保証する
[mur305_076] そ、そうか？
[mur305_077] 逆に、ご主人の手は温いがな……！
[mur305_078] もう陽があんなに西に傾いておる
[mur305_079] そろそろ帰らんといかんぞ、ご主人
[mur305_080] まだ一日目だぞ、ご主人
[mur305_081] そんなに容易くいくわけあるまい
[mur305_082] 早く帰ろうと言っておるであろう
[mur305_083] ほら、とっとと歩くのだ、ご主人
[mur305_084] 焦るでない
[mur305_085] ろーまは一日にしてならずというではないか
[mur305_086] 穂織とて、同じこと
[mur305_087] 明日以降も、こつこつ頑張るのだ
[mur305_088] 元気を出せ！ツライ時こそ笑え！
[mur305_089] おーっ！
[mur305_090] ご主人、今日は学院があるのう
[mur305_091] それに玄十郎の鍛練もある。町おこしはどうするのだ？
[mur305_092] うむ、勉学はちゃんとせんとな
[mur305_093] ふむ、わかった
[mur305_094] では、本日はその頃に、旅館で合流しよう
[mur305_095] それまでは、吾輩一人で色々探してみる
[mur305_096] 吾輩のご主人は心配症じゃな
[mur305_097] おおっ、ご主人！
[mur305_098] 早いのう、ご主人
[mur305_099] そんなに駆けてこんでも。まず汗を拭け
[mur305_100] ふむ、承知した。心配するでない
[mur305_101] ――と、伝えよ、ご主人
[mur305_102] 当たり前であろう、ご主人
[mur305_103] 玄十郎は頑固だが、何が大切かはわかっておる
[mur305_104] もっと祖父を信じよ
[mur305_105] では、これからどうする、ご主人
[mur305_106] また山を散策するか？
[mur305_107] そうじゃな、もっと違う角度で考えた方が良いのかもしれん
[mur305_108] うむ、つまり、りさーちじゃな、ご主人
[mur305_109] 敵を知るのは、兵法の基本だ。良いと思うぞ
[mur305_110] ……本当に以前より、外国人のお客が減ったのう……
[mur305_111] ご主人、ご主人！
[mur305_112] 前方に、外国の客人を発見したぞ
[mur305_113] 早速、りさーちを開始だ
[mur305_114] さりげなく、かつふれんどりーに話しかけるのだぞ！
[mur305_115] 挙動不審だぞ、ご主人！
[mur305_116] それに台詞がマズいぞ、宗教の勧誘みたいではないか？！
[mur305_117] 不審者と思われてしまう！
[mur305_118] だいたい、日本語では通じない――
[mur305_119] ついておるぞ、ご主人
[mur305_120] この機を逃すな！たたみかけよ！
[mur305_121] 悪い印象は何ももっておらんかったのう
[mur305_122] ふむ、御神刀も、外国のお客にとっては文化のひとつだったのだな
[mur305_123] 芳乃の舞同様、わかりやすい象徴であったのだろう
[mur305_124] かもしれんが、まだまだでーた不足じゃ
[mur305_125] よしご主人、次はあの二人に話しかけてみよ！
[mur305_126] 女だけの意見ではいかんだろうが、ご主人！
[mur305_127] 臆するでない、いくのだっ！
[mur305_128] 頑張れ、ご主人
[mur305_129] 穂織の発展はお主の双肩にかかっておる！
[mur305_130] 皆、言うことは似たりよったりじゃのう、ご主人
[mur305_131] 今日はここまでにするか、ご主人
[mur305_132] そろそろ陽も落ちるしな
[mur305_133] おおう、そうか
[mur305_134] なら、そこへ参るとしよう
[mur305_135] 苦しゅうない、楽にしてよい
[mur305_136] ――と、伝えてくれ、ご主人
[mur305_137] ぱふぇを所望する！
[mur305_138] ぺろっぺろっ、もぐもぐ！
[mur305_139] 甘い！相変わらずここのぱふぇは美味くて甘いのじゃ！
[mur305_140] いかにも
[mur305_141] 何だか、呆けておるようだな、ご主人
[mur305_142] こら、ご主人、何を赤くなっておる！
[mur305_143] 吾輩がそばにいるのに、デレデレしおって！
[mur305_144] もっとしゃんとせんか！
[mur305_145] ご主人
[mur305_146] ご主人、ふらぐを立てすぎじゃ……
[mur305_147] たいがいにせんと、今に神罰が下るぞ
[mur305_148] ご主人、全てバレておったようだな……
[mur305_149] 吾輩も気づかなんだ
[mur305_150] で、でぇと？！
[mur305_151] あれがでぇとと言うものだったのか？！ご主人！
[mur305_152] お主、吾輩が気づかぬうちに、吾輩の大切な初めてを……！
[mur305_153] ご主人、電話が鳴っておったぞ
[mur305_154] 何だったのだ？ご主人
[mur305_155] 早いのう、やるではないか
[mur305_156] あの者は郷土愛が少し足りぬようじゃな……
[mur305_157] ご主人、叢雨丸を持て。あの者と真剣に話し合いに行くのだ
[mur305_158] わはは、半分は冗談だ、ご主人
[mur305_159] うむ、真剣なだけに、吾輩は真剣じゃ！
[mur305_160] まあ、廉太郎はともかく、これからは多くの者が町おこしのために動く
[mur305_161] きっと成果が得られるであろう
[mur305_162] 町おこしである以上、いずれは皆にも吾輩達のやっていることは知れ渡る
[mur305_163] 自然の成り行きだ。そこはいたしかたあるまい
[mur305_164] うむ、明日も早いからな
[mur305_165] ゆっくり、休むが良いぞ、ご主人
[mur305_166] お休み、ご主人
[mur305_167] どうした、ご主人
[mur305_168] 眠れぬのか？
[mur305_169] ああ、すまん
[mur305_170] だが、ご主人が寝苦しそうで気になったのだ
[mur305_171] 何か悩みでもあるなら、申してみよ
[mur305_172] 吾輩がスバッと斬ってやるぞ
[mur305_173] 今日は玄十郎との稽古をしなかったからのう
[mur305_174] それで、疲労感が足りてないのかもしれん
[mur305_175] そうだ、ご主人
[mur305_176] 眠れぬのなら吾輩が子守唄を歌ってやろう
[mur305_177] ねんねんおころりよ。
[mur305_178] ご主人は、良い子じゃ。ねんねしな。
[mur305_179] むっ、演歌は日本人の心ではないか
[mur305_180] ご主人には、がっかりだ
[mur305_181] ならば、どうすれば眠れるのじゃ
[mur305_182] 和風がダメなら、洋風でも良い。申してみよ
[mur305_183] ……たまっておるのか、ご主人
[mur305_185] ……わかった
[mur305_186] それで、本当に眠れるのだな？
[mur305_187] 顔をあげい、ご主人
[mur305_188] んっ、ちゅっ……
[mur305_190] んっ、ちゅっ、んっ、ちゅっ……
[mur305_191] こ、これで文句はなかろうっ
[mur305_192] 早く眠るがよいぞ、ご主人！
[mur305_193] ご、ご主人と接吻をしてしまった……
[mur305_194] 今回のは前のとは訳が違う。まごうことなき接吻じゃ……
[mur305_195] 吾輩はどうしてしまったのだ……？
[mur305_196] この胸の高鳴りは、何なのじゃ？
[mur305_197] 月よ
[mur305_198] ずっと吾輩を見下ろしていた、そなたならわかるであろう
[mur305_199] 吾輩は、どうしてしまったのか、教えてくれ……
[mur305_200] ……もしかして吾輩は……
[mur305_201] ううっ、しかし……
[mur305_202] 困った……祟り神の方が、まだマシじゃ……
[mur305_203] 心は、斬って捨てられぬ……
[mur305_204] はぁ。。。。っ……
[mur306_001] おはよう
[mur306_002] む、今朝は卵焼きがあるな
[mur306_003] ご主人、吾輩も食べたいぞ
[mur306_004] 文字通り、手を貸してくれ！
[mur306_007] 居たら、叢雨丸で成敗してくれる！
[mur306_008] ご主人、吾輩がおる。何も案ずることはない
[mur306_009] 吾輩とご主人でやっていたことを、今度は皆でやるだけだ
[mur306_010] この間、お祝いの席に集まった者達で組めば良い
[mur306_011] それならば、吾輩が参加しても、皆戸惑いはすまい
[mur306_012] ご主人、往生際が悪いのう
[mur306_013] うむ、やっぱりレナはいい子だな、ご主人
[mur306_014] 胸は大きいが、性格はいいのだ！
[mur306_015] こら、ご主人！
[mur306_016] デレデレするでない！ていっていっ！
[mur306_017] 嘘を吐くでない、レナの方を見て、呆けておったではないか！
[mur306_018] 胸なんて飾りなんじゃとあれほど言うたのに！
[mur306_019] むう、ご主人がえっちぃからいけないのじゃ！
[mur306_020] ご主人、まだそのようなことを
[mur306_022] 当然至極
[mur306_023] 何をしょぼくれておる、ご主人
[mur306_024] 上に立つ者にとって、大切なのは知識ではない
[mur306_025] 人徳だ
[mur306_026] ご主人は、皆に認められたのだ。むしろ喜べばよいのだぞ
[mur306_027] とにかく入ってみるしかあるまい
[mur306_028] うむ、さすが玄十郎じゃな！
[mur306_029] だてに、年はとっておらぬ！
[mur306_030] ご主人、兵と城は手に入れたぞ
[mur306_031] 早速、合戦の準備だ！
[mur306_032] ご主人も、随分疲れておるのう
[mur306_033] 玄十郎との稽古より、キツそうに見えるぞ
[mur306_034] あの二人は、神社の仕事で先に帰ったぞ
[mur306_035] それより、ここで死んでるご主人達にお茶を振舞ってくれぬか、レナ
[mur306_036] ほれ、ご主人も飲め
[mur306_037] 飲ましてやりたいが、吾輩は湯のみに触れんのだ
[mur306_038] そうか、レナの茶はそんなに美味いのか
[mur306_039] 吾輩も飲んでみたかったのう。さすがに無理じゃがな
[mur306_040] うむ、固形物でなければ無理であろう
[mur306_041] 良い、その気持ちだけで吾輩は充分だ
[mur306_042] 吾輩は腹も減らんし、ノドも乾かんしな
[mur306_043] うむ、毎回そうやって進展させねばな
[mur306_044] ご主人、吾輩達も退散するか
[mur306_045] 仕事もせずに、ここに長居してもレナと玄十郎に迷惑をかけてしまうからのう
[mur306_046] レナ、これからもよろしく頼むぞ
[mur306_047] ご主人、同世代の仲間とは良いものだな
[mur306_048] 本日の会議で、皆と一緒に話しているご主人は楽しそうだったぞ
[mur306_049] ご主人だけではない、芳乃や茉子も同様じゃ
[mur306_050] やはり、若者は若者のうちに、体験すべきことがあるのだ
[mur306_051] 祟り神の怒りを鎮めて、ようやくご主人達もまっとうな青春を送れそうで何よりじゃ
[mur306_052] ん？
[mur306_053] な、何？！
[mur306_055] い、いや、待て、ご主人！
[mur306_056] 吾輩はいいのだ！吾輩はご主人達とは歳が違いすぎる
[mur306_057] ５００は違うのだぞ？！青春という歳ではないわ！
[mur306_058] うっ、しかしだな……
[mur306_059] お、抑えが効かなくなったら困る……
[mur306_060] だから、諦めていたものをいざ取り戻そうとすると……
[mur306_061] 吾輩はどこまでもどこまでも、求めてしまうやもしれん
[mur306_062] 相手のあることじゃ、そんな簡単にはいかん
[mur306_063] うぐっ、だから、吾輩が求めてしまうのは、そーではない……
[mur306_064] 吾輩が一番したいのは……
[mur306_065] そ、相談？！本人に相談などできるか！
[mur306_066] う、五月蠅いぞ、ご主人！
[mur306_067] この話はもう止めじゃ！ほれ、境内の掃除じゃろう！
[mur306_069] っ？！
[mur306_070] ――っ？！
[mur306_071] な、何？！
[mur306_072] ううっ、バ、バレてしまったのか？！
[mur306_073] うぐっ、そうであったのか、ご主人
[mur306_074] あうっ、はっきり言わないでくれ……
[mur306_075] 顔から火が出そうじゃ……
[mur306_076] く、くうっ、や、やはりバレバレであったか……
[mur306_077] 何でそうなるのだ、馬鹿ご主人！
[mur306_078] 鈍いご主人に、天誅だ！
[mur306_079] ゆ、幽霊？！
[mur306_080] ど、どこじゃ、ご主人、どこにそんなモノが！
[mur306_081] 吾輩は幽霊ではないっ！
[mur306_082] あんな存在と、吾輩をいっしょにするでないぞ、ご主人！
[mur306_083] は、話というか……
[mur306_084] い、いいかげんに察してくれ、ご主人
[mur306_085] ま、まだ、わ、わからぬのかご主人
[mur306_086] これは日本古来から伝わる由緒正しき儀式だ
[mur306_087] 夜這いというのだぞ
[mur306_088] 吾輩は眠らぬのだから、こうするしかないではないか
[mur306_089] そうだご主人、吾輩は最近おかしいのだ
[mur306_090] ご主人のことを考えるだけで、胸が苦しくなる。ずっと触れていたくなる
[mur306_091] 夕餉の後、茉子と芳乃が吾輩に話しかけてきた
[mur306_092] 躊躇はしたが、そこは女同士の気安さか、吾輩もつい本当の事を話してしまった
[mur306_093] 茉子と芳乃に、話してようやく決心できたのだ
[mur306_094] この恋わずらいに、決着をつけようと
[mur306_095] ご主人、ご主人は唯一吾輩に触れられる男じゃ
[mur306_096] その男を吾輩は好いたのだ、こんなことはもう金輪際ないかもしれん
[mur306_097] 後生じゃ、ご主人……吾輩を抱いて欲しい
[mur306_098] 今夜限りで、構わぬ
[mur306_099] 吾輩を女として、愛してくれ
[mur306_100] 吾輩はな、ご主人
[mur306_101] 初めて、恋をしたのだ……
[mur306_102] 恋を知らぬまま、今まで生きてきた……
[mur306_103] ぐすっ、吾輩は恋をしたかった……。ずっと……
[mur306_104] あ……
[mur306_105] ご主人……いいのか？
[mur306_106] ご主人……
[mur306_107] ご主人は優しいのう……
[mur306_108] ご主人が吾輩の初恋で良かった……
[mur306_109] 何じゃ？
[mur306_110] ……よ、良いのか？
[mur306_111] 吾輩は人ではないのに、良いのか？
[mur306_112] ご主人……
[mur306_113] ありがとう……んっ……
[mur306_114] んっ、ちゅっ、ご主人……
[mur306_116] 好きじゃ、んっ、好きじゃ、ご主人……
[mur306_118] はぁ、はぁ、ご主人……
[mur306_119] ん？何だ？
[mur306_120] そ、そうなのか？
[mur306_121] くす……、ご主人はやっぱり正直で優しいのう……
[mur306_122] 良い。ご主人なら委ねられる
[mur306_123] 吾輩をご主人の最初の女にしてくれ
[mur307_001] おお、起きたか、ご主人
[mur307_002] うむ、おはようだ、ご主人
[mur307_003] 身体の調子はどうだ？どこか痛くはないか？
[mur307_004] ふむ、まだちょっとだけ、股にご主人のモノがはさまってるような感じはあるが……痛くはない
[mur307_005] ははは、それはそうじゃのう
[mur307_006] そうじゃな、早くせんと境内の掃除が――って、ぎゃああああっ！
[mur307_007] ご主人！何も着ておらん！見えてる！見えておるぞ！
[mur307_008] ブラブラしておるぞ！
[mur307_009] なっ、何を言うか、吾輩のせいではないっ！
[mur307_010] そ、それに、婿になら、吾輩がいくらでももらってやるわ！安心せい！
[mur307_011] え？！あっ、いや、い、今のは口が滑った！
[mur307_012] そーいうことは、もっとよく考えてだな……
[mur307_013] ち、違うわ！どうしてわざと曲解するのだ、ご主人！
[mur307_014] まったく、ご主人は……
[mur307_015] 春とはいえ、温かくせねば、風邪を引くぞ
[mur307_016] ……吾輩もそうだ
[mur307_017] だが、もう境内の掃除をせねばな
[mur307_018] そんなにがっかりした声を出すでない、ご主人
[mur307_019] 今夜また、一緒に寝ればよいではないか
[mur307_020] うむ、心得た
[mur307_021] ああ、頑張ろうご主人！
[mur307_022] ん？
[mur307_023] ……おかしいぞ、ご主人
[mur307_024] いや、その原因はわかっている
[mur307_025] 結界の力が、弱くなっておるな、芳乃
[mur307_026] まあ、それがいいであろうな
[mur307_027] 下手に手を出して、結界が完全に消えでもしたら目も当てられん
[mur307_028] 何だか、胸騒ぎがするのう……
[mur307_029] まだ戻って来んのう……
[mur307_030] ……思い切って、吾輩達も行ってみるか？
[mur307_031] 吾輩は叢雨丸の管理者、ご主人はその使い手
[mur307_032] 茉子は代々、朝武家に仕える家系の者
[mur307_033] 無関係というわけではあるまい
[mur307_034] 何？！吾輩に関係があるのか？
[mur307_035] な、何だか怖いのう……
[mur307_036] ご主人も来てくれぬか？
[mur307_037] う、うむ……！
[mur307_038] う、うむ！
[mur307_039] 矢でも、鉄砲でも持ってくるが良いぞ！
[mur307_041] ……そうであろうな
[mur307_042] そうでなければ、吾輩の身体が５００年も無事に保存されているわけがない
[mur307_043] とっくに骨になっておるはずだ
[mur307_044] うむ、人柱になった時の吾輩がそのまま安置されておったということじゃな
[mur307_045] ん？
[mur307_046] な、何？！本気で言っているのか、安晴！
[mur307_047] 安晴、お主そのようなことを……
[mur307_048] ……吾輩が、人に戻る……戻れる……
[mur307_049] もし吾輩が人に戻れば……
[mur307_050] ご主人と本当の夫婦になれるやもしれん……
[mur307_051] なっ、何でもないっ！
[mur307_052] べ、別にご主人のためじゃないのだからな……！
[mur307_053] し、しかし、仮に戻るとして、ひとつ問題があるであろう
[mur307_054] 吾輩は不治の病にかかっておる
[mur307_055] 戻ってもすぐに死んでしまうのではないか？
[mur307_056] う、うむ……
[mur307_057] ……すまぬ、今はまだ踏ん切りがつかぬ
[mur307_058] 吾輩はあまりに永く叢雨丸の管理者として、生きてしまったのだ
[mur307_059] 良いとはわかっていても、理屈だけでは、なかなか割り切れないのだ
[mur307_060] ……そ、そうじゃな
[mur307_061] 吾輩の身体を、一度診てもらうのはいいかもしれん
[mur307_062] うむ
[mur307_063] 自分に会いに行くというのは、妙な気分ではあるがな……
[mur307_064] こ、こら、ご主人、あんまりジロジロ見るでない！
[mur307_065] 恥ずかしいではないか！
[mur307_066] 今、それを口にするな、ご主人！
[mur307_067] う、うむ
[mur307_068] 上手く戻れるか、若干不安だがのう……
[mur307_069] ――えいっ！
[mur307_071] ……っ？
[mur307_072] ご主人……？
[mur307_073] 芳乃、安晴……？
[mur307_074] この感覚は……
[mur307_075] うっ、重いのう……
[mur307_076] だが、しっかりとした実感が――
[mur307_077] ごほん！ごほんっ！げほっ！
[mur307_078] む、胸が痛い――げほん！げほん！
[mur307_079] 案ずるな、ご主人。かなり良い
[mur307_080] 駒川のくれた薬のせいか、もう咳も収まった
[mur307_081] ご、ご主人……
[mur307_082] ご、ご主人……！
[mur307_083] い、いや、茉子、芳乃、いいのだ
[mur307_084] 吾輩もそれがいい。ご主人の部屋に吾輩の分の布団を用意してくれ
[mur307_085] う、うむ！
[mur307_086] ご主人がいてくれた方が、わ、吾輩も安心できる……
[mur307_087] うむ、承知した――って、何言っておるのだっ？！
[mur307_088] ご主人、二日目でもうバレてしまったのう……
[mur307_089] そ、それもそうだが
[mur307_090] せめて、もう少し心の準備をする機会が欲しかったぞ
[mur307_091] ん？何だご主人
[mur307_092] ……ありがとうなのだ、ご主人
[mur308_001] おお、ご主人
[mur308_002] ヤケに早いな、町おこし会議はどうしたのだ？
[mur308_003] む、いいのか、ご主人
[mur308_004] ……っ！？
[mur308_005] ――はうっ？！
[mur308_006] あ、あうあうあう……
[mur308_007] ご、ご主人、だ、大丈夫じゃ……！
[mur308_008] 熱はない！吾輩は全然平気なのだ！
[mur308_009] それはご主人のせいであろう！
[mur308_010] とにかく熱はない
[mur308_011] 案ずるでない、ご主人
[mur308_012] まったく、吾輩のご主人は……
[mur308_013] 乙女心というものが、わかっておらん……
[mur308_014] 吾輩の気持ちは知っておろうに……！
[mur308_015] おおっ！もしかして、それは……！
[mur308_016] 気分はサイコーだ！今、サイコーになったぞ、ご主人！
[mur308_017] いただくぞ、ご主人！
[mur308_018] パクパク、はぐっ、もぐもぐっ
[mur308_019] ――っくん
[mur308_020] うむ、やっぱりぱふぇはサイコーに美味じゃな、ご主人！
[mur308_021] パクパク、はぐっ、もぐもぐっ
[mur308_022] ……ん？どうしていきなり吾輩の頭を撫でるのだ、ご主人
[mur308_023] ――っ？！
[mur308_024] ……くっ、また不意打ちか、ご主人……
[mur308_025] もしかして、わざとなのか？！
[mur308_027] ……やはり、天然か
[mur308_028] もう良い。ご主人はそのままで良い
[mur308_029] 吾輩はもう諦める。そのままのご主人を受け入れるしかない
[mur308_030] それより、物を食べたせいか少し眠くなった
[mur308_031] 横になって良いか？
[mur308_032] わかった
[mur308_034] ……行ったか
[mur308_035] はぁ。。っ……
[mur308_036] ううっ、まったくご主人はさらっとああいうことを言う……
[mur308_037] さっきから胸がどきどきして、止まらんではないか……
[mur308_038] 人の身体に戻ったせいか、前よりはっきりと鼓動がわかる……
[mur308_039] ううっ……
[mur308_040] 肺炎より、恋わずらいの方がよっぽど重症だ……
[mur308_041] どうしてくれるのじゃ、ご主人……
[mur308_043] 責任を取れ、ご主人……
[mur308_044] ご主人、お帰り
[mur308_045] というか、今日も早いな
[mur308_046] 日増しに早くなるではないか
[mur308_047] おお、今日は抹茶ぷりんではないか！
[mur308_048] ほう、都会の茶店では、そんなさーびすがあるのか
[mur308_049] いつかは行ってみたいものだな
[mur308_050] うむ、もう入っても平気だと思う
[mur308_051] 一番風呂をもらってもいいのか？茉子
[mur308_053] チラッ
[mur308_054] チラチラチラッ
[mur308_055] では行くぞ、ご主人
[mur308_056] き、決まっておるではないか
[mur308_057] 湯殿だっ
[mur308_058] 吾輩の背中を流すのだ
[mur308_059] 重病人で、介護が必要な吾輩を、彼氏のご主人が面倒を見るのは当然ではないかっ
[mur308_060] うっ、急に身体が重くなったぞ、ご主人……
[mur308_061] 汗を流したいが、一人では湯当たりしないか不安だ……
[mur308_062] ああっ！誰かこんな不憫な吾輩といっしょに湯浴みをしてくれないだろうか……？！
[mur308_063] うむ、そうしてくれご主人
[mur308_064] では、湯殿へ行くぞ
[mur308_065] ご主人、何をしておる
[mur308_066] 早く、行くぞ
[mur308_067] おお……
[mur308_068] おおおっ……！
[mur308_069] お湯の感覚じゃ……
[mur308_070] 熱いのう……でも、いい気持ちじゃ！
[mur308_071] うむ！
[mur308_072] あはははは！温い！温いのう！
[mur308_073] では、頼んだぞ、ご主人！
[mur308_074] ？ご主人……？
[mur308_075] どうしたのだ？
[mur308_076] ３３１だ。でも、何ゆえ、今素数なのだ
[mur308_077] おおっ、これは気持ち良い……
[mur308_078] 思えば、親の背中を流すことはあっても、流されたことはなかった
[mur308_079] 初体験じゃ
[mur308_080] ご主人、もっと力を入れてもいいぞ
[mur308_081] ……んっ
[mur308_082] ……あっ、んっ、いい、いいぞ、ご主人……
[mur308_083] ……気持ちいい……んっ！
[mur308_084] はぁ、はぁ、ご主人……
[mur308_085] あっ、ん、あ……
[mur308_086] もっと強くして欲しいぞ……
[mur308_087] あ……！
[mur308_088] あっ、んっ、あっ！
[mur308_089] ご、ご主人……
[mur308_090] わ、わかっておる……
[mur308_091] それに、吾輩は別に――
[mur308_092] う、うむ
[mur308_093] ……ご主人
[mur308_094] ……吾輩が、こんなに積極的にあぷろーちしてるというのに……
[mur308_095] まあ、吾輩の身体を気遣ってくれてたとは思うが……
[mur308_096] ……はぁ。。っ……
[mur308_097] ……元気になったら、また抱いてくれるかのう……
[mur308_098] 次はご主人から、抱いて欲しいものだ……
[mur308_099] すー、すー
[mur308_100] すー、すー
[mur308_101] すー、すー
[mur308_103] ご主人は……本当に優しいのう……
[mur308_104] ちゅっ……
[mur309_001] わかった
[mur309_002] どうした、ご主人顔色が悪いぞ
[mur309_003] 待て待て、何を慌てているご主人
[mur309_004] 吾輩がどうして、手術をするのだ！
[mur309_005] もう病は完治したのに、縁起でもないことを言うな
[mur309_006] ご主人、まだ十分も経っておらんぞ……
[mur309_007] そんなにかかるものなのか？
[mur309_008] 良い。どこも苦しくも痛くもない。どこも悪かろうはずもない
[mur309_009] 世話になったのう
[mur309_010] それはもういいのだ
[mur309_011] 礼ならさんざん皆から言ってもらった
[mur309_012] それに、吾輩は本当は――
[mur309_013] おおっ、玄十郎
[mur309_014] お主と直接、会話するのは初めてじゃな
[mur309_015] 堅苦しい挨拶はよい
[mur309_016] それより、玄十郎、お主も色々と穂織のために骨を折ってくれておるな
[mur309_017] 吾輩は嬉しいぞ。これからもよろしく頼む
[mur309_018] ふぅ、玄十郎はおおげさじゃな……
[mur309_019] あやつは、実は涙もろいところもあるのだぞ、ご主人
[mur309_020] 昔はあにめーしょんの名作劇場を観ては、隠れて泣いておった
[mur309_021] パ○○ッシュ、疲れたろう、僕も疲れたんだ、何だかとても眠いんだ……
[mur309_022] ははは！そうか、やはり血は争えぬな
[mur309_023] ん？どうしたのだ、ご主人
[mur309_024] 何か心配事でもあるのか、ご主人
[mur309_025] あるなら、彼女の吾輩に相談せい
[mur309_026] たちどころにずばっと斬ってやるぞ
[mur309_027] 町おこしのことなら、これから頑張れば良いではないか
[mur309_028] 何だ、ご主人
[mur309_029] ……わからん
[mur309_030] 正直、戻るべきではないのではないかと思っておる
[mur309_032] ……確かに、役割としてはそうじゃな
[mur309_033] ……すまん、吾輩はまだ人の身体が見つかったばかりだ
[mur309_034] まさか、こんな機会が訪れるとは夢にも思うてなかった
[mur309_035] ご主人、一時、吾輩に考える時間をくれ
[mur309_036] 頼む
[mur309_038] ご主人
[mur309_039] 穂織の来る前のご主人のことを、教えてくれぬか？
[mur309_040] そのフツーの話が聞きたいのじゃ
