=== koh (koh) 剧情配音文本 ===
共计 1138 句台词

[koh001_001] どうしたの、お姉ちゃん
[koh510_018] お、お兄ちゃん……それ、ほ、本当？
[koh510_019] 本当に本当？
[koh510_020] 本当に本当で本当？
[koh510_021] だって……だって……お兄ちゃんが私のこと、好きって……
[koh510_023] で、でも……な、なんだか頭がくらくらしてきたよ？　やっぱり夢なんじゃ……
[koh510_024] ふわっ、ふわっ……あわわ……
[koh510_025] へ、返事って……そんなの……きまってるよ
[koh510_026] わ、私も、私もね、お兄ちゃんには本当のお兄ちゃんになって欲しいぐらい、好き……
[koh510_027] そ、そうだよ。好き……私は、お兄ちゃんのことが、男の人として好き、です。だ、だから――
[koh510_029] お兄ちゃーん、えへ、えへへへ……お兄ちゃん、大好き
[koh510_030] うん！
[koh510_031] お兄ちゃん……？
[koh510_032] そっか………………うん、わかった
[koh510_033] 謝ったりしなくていいよ、お兄ちゃん
[koh510_034] 私はシフトじゃないから、今日はもう帰るね、お姉ちゃん
[koh510_035] そんなに心配しないでも、私は１人で平気だから
[koh510_036] ちゃんと全力を尽くした結果だもん。だから約束通り、仲良し幼馴染のままだよ
[koh510_037] ううん、こっちこそ。頑張ってね、お姉ちゃん
[koh511_001] えへへ。……
[koh511_002] ……え？それはもう……えへへ
[koh511_004] お兄ちゃんが失礼な質問をするからだよ
[koh511_005] ダメとかじゃなくって、どうしてそんな質問をしちゃうかな……
[koh511_006] 私が嬉しい理由なんて……決まってるのに
[koh511_007] 大好きな人と……こうして一緒にいられるからに決まってるのに
[koh511_008] お兄ちゃんは、そういう風に思ったりしないの？
[koh511_009] そのわりには……あんまり喜んでる風には見えないかも？
[koh511_010] 警察はさすがにないと思うけど……それに、大丈夫じゃないかな？
[koh511_011] だってお兄ちゃんは、格好いいもん。格好いいから、真面目な顔も、笑ってる顔も素敵だよ、えへへ
[koh511_012] そ、そうかな？ありがとう、お兄ちゃん
[koh511_013] ななな、なにしてるの、廉兄！？もしかして覗き！？
[koh511_014] うん。わかった
[koh511_015] はっ、初めて同士って……あっ、朝から何を変な事言ってるの、このエロ兄は！
[koh511_016] ッッ、。。。。。。ッッ
[koh511_018] ………
[koh511_019] そ、それぐらい、ラクショー……だよ？
[koh511_020] う、うん……
[koh511_021] 。。。ッッ、んん！
[koh511_022] な……なんか、照れるね……
[koh511_023] せっ――
[koh511_024] やっぱり変な意味で言ってるんじゃん！このエロ兄！
[koh511_025] えっ……そ、そうなの……？
[koh511_026] う、嘘だ嘘だー！私のことからかってるだけの癖に！
[koh511_028] み、みこす――ッ
[koh511_029] お兄ちゃんも！変な話題に食いつかないで！廉兄が調子に乗っちゃうから！
[koh511_031] あっ……ありがとう、廉兄……心配してくれて
[koh511_032] なぁっ！あのバカ兄めぇ！
[koh511_033] あっ……うんっ
[koh511_034] ありがとうございましたー
[koh511_035] はーい
[koh511_036] ？？何の話？
[koh511_037] お煎餅！？食べる食べる！
[koh511_038] うん！ありがとう、お姉ちゃん
[koh511_039] 本当にありがとう……お姉ちゃん……
[koh511_040] さてとお兄ちゃん、なんのお煎餅を焼くの？
[koh511_041] いただきまーす
[koh511_042] はぁむっ……んー！海苔の風味が素晴らしいー……
[koh511_044] はぁ～……お兄ちゃんの焼くお煎餅は美味しい
[koh511_045] わっ！？なんだかすごい色だね、これ……失敗作？
[koh511_046] へー、抹茶のお煎餅……見たことはあるけど、食べるのは初めてだよ
[koh511_047] うん！それじゃあ……あーむっ
[koh511_048] ……もぐ……もぐ……
[koh511_049] ……ちょっと、にがい……
[koh511_050] んー……要研究、かな
[koh511_051] そういうのが好きな人もいるとは思うけど……多くはないんじゃないかな？
[koh511_052] でも、急にどうしたの？
[koh511_054] ………？　もっと違う理由なの？
[koh511_055] ……え？
[koh511_056] そ、そうなんだ……えへ、えへへ……なんか恥ずかしいね
[koh511_057] 食い意地張ってるだけなのに……でも嬉しい、お兄ちゃんがそんな風に考えてくれてて
[koh511_058] そっか……うん、お兄ちゃんの気持ち、とっても嬉しい……
[koh511_059] はぁぁ……なんだろ、今までにもお兄ちゃんに可愛いとか言われたことがあったはずなのに……
[koh511_060] 今、言われたのが……一番嬉しい。嬉しくって……ドキドキするよ
[koh511_061] そっか……まあ、あのバカ兄もたまーには、ちゃんとしたこと言うんだね
[koh511_062] ……あは、あははは！
[koh511_063] ――ッ！？
[koh511_064] 今の……お姉ちゃん、だよね？
[koh511_065] お姉ちゃん、どうかしたの？
[koh511_066] こんな時間から？
[koh511_067] うん。わかった
[koh511_068] そうだねー……
[koh511_070] えへへ
[koh511_071] お、お煎餅、全部食べちゃうね
[koh511_072] ご馳走様でした
[koh511_074] 苦いけど、別に食べられないほどじゃなかったよ
[koh511_075] もうちょっと味を調節すれば……もしかしたら、美味しくなるかも？
[koh511_076] 私は、普通のお醤油の方が好きかなーって……えへへ
[koh511_077] それじゃあ、遅くならないうちに帰る？
[koh511_078] え？
[koh511_079] ……あっ……う、うん
[koh511_080] そ、そっか……２人きり、なんだね……
[koh511_082] んんっ……んんーーっ……
[koh511_084] なんか、その……自分の息の音が気になって……どうすればいいのか、よくわからなくなっちゃって……
[koh511_085] ……う……うん
[koh511_086] 笑わないで、笑わないでよ、お兄ちゃん！
[koh511_087] お兄ちゃんも？息を止めてたの？
[koh511_088] そ、そっか……お兄ちゃんもなんだ……
[koh511_089] 普通はこういう時、どんな話をするんだろうね？
[koh511_090] ……恋人……恋人、なんだよね
[koh511_091] お、お兄ちゃんは……恋人って、何をするものだと思う？
[koh511_092] それだけ……？
[koh511_094] でも……気になってるんだよね？　だから、質問の答えとして出てきたんだよね？
[koh511_095] ……うん……
[koh511_096] じ、じじっじじじっじじじじじじ実はね、わわわわたしもももきになってるっ
[koh511_097] う、うん……ごめんなさい……
[koh511_098] あの、あの……私もね、気になってるの。キスとか、その……せ、性行為……とか……
[koh511_099] で、でもね、私……そういう知識が全然なくて……だから、不安なの……
[koh511_101] でも、ほら、廉兄だって……トラウマがどうとか言ってたから
[koh511_102] だ、だからね、お兄ちゃん！
[koh511_103] 事前に……勉強させてもらえないかな？
[koh511_354] しちゃったね……
[koh511_356] ……うん、そうだね、お兄ちゃん
[koh511_357] あ、でもどうしよう。そうなると、お兄ちゃんって呼ぶのも変かな？
[koh511_358] いいの？
[koh511_359] うん、よかった……お兄ちゃん！
[koh512_001] はーい
[koh512_002] うん、美味しそうに出来てる。さすがお兄ちゃん
[koh512_003] でも本当に美味しそう。私もパフェ、食べたいなぁ。
[koh512_004] 本当！？わぁ。いっ、ありがとう、お兄ちゃん！
[koh512_005] はーい
[koh512_006] いただきまーす
[koh512_007] はむはむ……はぁぁ……パフェ美味しぃ。……
[koh512_008] ん？うん、やっぱり甘い物も好きだよ
[koh512_009] でもね、こんなに好きなのはきっと……お兄ちゃんが作ってくれたからだよ、えへへ
[koh512_010] うん？どうかした？
[koh512_011] え、えへへ……やだなぁ、そんな褒めても何も出ないよ？
[koh512_012] んー？なに？
[koh512_013] ……え？
[koh512_014] ん、うん……
[koh512_015] ……わかった、そうだね
[koh512_016] うん、私も頑張る！
[koh512_017] 違うよ、お兄ちゃん。これは私たち２人の問題だもん。何かするなら、２人で一緒に頑張ろう
[koh512_018] その方がきっと、力も出ると思う
[koh512_019] うん！
[koh512_020] そっ、そうだね……木刀とか持ち出されたら、どうしよう？
[koh512_021] でも……お祖父ちゃんが本気で怒ったところなんて……見たことある？
[koh512_022] う、うん。それがいいと思うよ、お兄ちゃん
[koh512_023] お兄ちゃん
[koh512_024] う、うん……おはよう
[koh512_025] お祖父ちゃんは？
[koh512_026] そ、そっか……ちなみに、今日の機嫌は？
[koh512_027] んー……それはそうかも
[koh512_028] 笑わないわけじゃないけど……ニコニコしてることなんて見たことないもんね
[koh512_029] うん、そうだね。それじゃあ……行こうか
[koh512_030] お、おはよう、お祖父ちゃん
[koh512_031] うん。これは、私の未来にも大きく関わることだから……
[koh512_032] 実は……その……
[koh512_033] 私も、お兄ちゃんの事が好きなの。ひ、１人の男の人として……真剣に、好き、です
[koh512_034] 私もお兄ちゃんと同じ気持ちだよ。ちゃんと真面目に考えた上で、いずれは結婚したいと思ってる
[koh512_036] お、お兄ちゃん……
[koh512_037] ありがとうございます
[koh512_038] ……お兄ちゃん……
[koh512_039] ありがとう、いっぱい、いーっぱい頑張ってくれて
[koh512_040] うん。見てた、ちゃんと見てたよ
[koh512_041] ぅっ……お兄ちゃん、防具臭い……
[koh512_042] それはわかってるよ。ちゃんと見てたし、お兄ちゃんの努力は、私も嬉しかったから……
[koh512_043] でもさすがに、この匂いは……
[koh512_044] え！？あっ、ちょっとお兄ちゃん、臭い臭い！臭いってばー
[koh512_045] なにか、色々言われたりとか……
[koh512_046] それじゃあ……
[koh512_047] お父さんとお母さんに言うのは、日を改めた方がよさそうだね
[koh512_048] 廉兄
[koh512_049] でも、お祖父ちゃんと戦うお兄ちゃん……すごく格好良かったよ
[koh512_050] そういう心配は、まず相手を見つけてからにしたら？
[koh512_051] ………ふんっ
[koh512_052] そういうのが好きな人だっているんだもんね
[koh512_053] ちょっと、お兄ちゃん！？
[koh512_054] え…………
[koh512_055] あ、私そういうの言われたことない
[koh512_056] やだ、返してー！ていうかお兄ちゃんにくっつかないでー！
[koh512_057] ……それは……
[koh512_153] うっ……。。。。。。……ッッ！
[koh512_154] そうだね。まさか……こんなにもアッサリ認めてもらえるなんて
[koh512_156] そうかな？
[koh512_157] そ、そうかな……えへへ……ありがとう、お兄ちゃん
[koh512_159] お兄ちゃんのことは、私が絶対に幸せにして見せるからね
[koh512_160] えへへ
[koh512_161] ん？なぁに？
[koh512_162] ……うんっ
[koh521_001] おはようございま。す
[koh521_002] ダメだよ２人とも、朝からこんなところでイチャつくなんて
[koh521_003] これからお仕事なんだから
[koh521_004] ……ふふふ。お姉ちゃん、なんだか嬉しそう
[koh521_005] うん、羨ましいぐらい幸せそう
[koh521_006] あっ……ゴメン、お姉ちゃん。言い方が悪かったかもしれないけど、他意はないの
[koh521_007] お姉ちゃんとお兄ちゃんが嬉しそうで、私も嬉しいよ
[koh521_009] お姉ちゃんから聞いてるよ～。嫁になってくれ、って言ったんでしょう？　きゃ～、だいた～ん♪
[koh521_010] ……お兄ちゃん？
[koh521_011] うん、よろしい
[koh521_012] あはは、別に私にお礼を言う必要はないと思うけどね
[koh521_013] さてと、早く着替えちゃわないとね。ほら、いつまでもイチャイチャしてると、お店を開けるのが遅くなっちゃうよ
[koh521_014] お姉ちゃん、看板しまったよ
[koh521_015] はーい
[koh521_016] あっ、お兄ちゃん、お疲れ様
[koh521_017] お先に失礼します
[koh521_018] ううん、いいよ。夜って言っても、まだそんなに遅くないから
[koh521_020] そういうの、女の子は嬉しいものだよ
[koh521_021] それにお姉ちゃんはお店の事もあるから、多分気を張ってると思うんだよね
[koh521_022] そんな時こそ、お兄ちゃんの出番だよ
[koh521_023] お姉ちゃんを、ちゃんと幸せにしてあげてね
[koh521_024] うん！
[koh522_002] お姉ちゃん、なんだかご機嫌だね。何かあったの？
[koh522_003] なに？もしかして……お兄ちゃんが何かプレゼントでもしてくれたとか？
[koh522_004] そうなの？もうマンネリ？
[koh522_005] へー、そうなんだ？
[koh522_006] でも珈琲のときだって、認めてもらえたんじゃないの？
[koh522_007] ……なんだか気になるかも。お願いしたら作ってくれるかな？
