=== 马庭芦花 (rok) 剧情配音文本 ===
共计 1426 句台词

[rok001_002] ……んー……あの
[rok506_017] ――なっ、はっ、はぁ？意味の分からないこと言ってないで仕込みに戻って
[rok506_018] ほら、開店準備！開店準備！
[rok506_019] ねえ、まー坊
[rok506_020] 小春ちゃんと一緒に休憩を取っちゃって
[rok506_021] 大丈夫。お母さんもいるから
[rok506_022] 今のうちに２人とも休んでもらわないと、こっちが困るの。ほら、早く早く
[rok506_023] うん。なんだったら、２人で一緒にご飯とか食べに行ってもいいからね
[rok506_024] あ、うん。お店の方はもう大丈夫。ご苦労様。
[rok506_025] ちょい待ち
[rok506_026] １人で帰るんじゃないの。バイトのお仕事は終わりでも、男の仕事が残ってるでしょ？
[rok506_027] 小春ちゃんを、ちゃんと送っていくこと。いい？これは業務命令だから
[rok506_028] 出さなきゃ送らないって言うなら、出してもいいけど？
[rok506_029] んー？そりゃまあ……小春ちゃんのことを考えてるから、かな
[rok506_030] まー安心なさい。別に変なことなんて考えてないから
[rok506_031] ならばよろしい
[rok506_032] 小春ちゃん、お疲れ様
[rok506_033] うん。２人とも、またよろしくね
[rok506_035] ……はぁ～……
[rok506_036] 何でもない。それよりお母さん
[rok506_037] この花を長持ちさせる方法、しらない？
[rok506_038] そっか……難しい、か……
[rok506_039] 今のアタシには、それぐらいで丁度いいのかも……
[rok506_040] わっ、び、ビックリした……なに？忘れ物？
[rok506_041] アタシに相談？なんだろ……
[rok506_042] ―――ッ、ま、まー坊とのこと……
[rok506_044] そんなことないよ。ぴゅ～、ぴゅ～
[rok506_045] うっ……
[rok506_046] もしかして小春ちゃん……怒ってる？
[rok506_047] ごめんなさい……。で、でもね、別に面白半分じゃないんだよ
[rok506_048] だってほら、小春ちゃんってばまー坊のこと、好きでしょ？
[rok506_049] 何年かぶりに会った優しいお兄ちゃんは、大人の男になってた。ドキッとして気持ちが傾いちゃうよね
[rok506_050] 端から見てればわかるよ、小春ちゃんの気持ち。だから応援してあげようとしちゃったの
[rok506_052] ……え？
[rok506_053] ―――ッ
[rok506_054] ナッ、なんのコト、デショウか？
[rok506_056] ……それは……
[rok506_058] はぁ……小春ちゃんにそこまで言われちゃ、逃げ切れないか……
[rok506_059] わかった、降参する。正直に言うとね……悔しいかな、まー坊にドキッとしてる
[rok506_060] だってさぁー……まー坊ってば細い割りに実はガッシリしててさ、力仕事も軽々と行える
[rok506_062] うん。安心してるはずなのに……気付いたら……ドキッとさせられてて……意識しちゃうんだよね
[rok506_063] なんていうか、男の人！って感じがするんだよね、今のまー坊は
[rok506_067] まったく、２人も同時に惚れさせるなんて、本当にナマイキなヤツ～
[rok506_068] ……まー坊には小春ちゃんの方が似合ってると思う
[rok506_069] それになにも、仲のいい幼馴染同士で、１人の男を取り合って争わなくてもいいじゃない
[rok506_070] そんな禍根を残すようなことしなくてもさ
[rok506_071] ……え？
[rok506_072] な、何言ってるの、小春ちゃん！そんなに簡単に諦めちゃダメだよ！
[rok506_073] それは……
[rok506_075] ……あー……その可能性をすっかり失念してた
[rok506_076] そっか……譲り合った結果、どっちもフラれるなんて目も当てられないね
[rok506_078] それがどういう結果になっても……うらみっこなし？
[rok506_079] 仲のいい幼馴染のまま？
[rok506_081] ……はぁぁ……アタシ、本当にダメだなぁ。これじゃあ小春ちゃんの方が年上みたい……
[rok506_082] どうかなって……もうわかってるでしょ、小春ちゃん
[rok506_083] ……そうだね。逃げ回ってちゃダメだよね……
[rok506_084] うん、うらみっこなし。正々堂々、勝負しよう、小春ちゃん
[rok506_085] ふふふ、後悔しても知らないよぉ。？
[rok506_086] 大人の魅力ってものを見せつけちゃうよ？
[rok506_087] こっ、小春ちゃん、脱げばって……
[rok506_089] ふふ、あははは
[rok506_090] うん。じゃあ、２人で一緒に……っていうわけにはいかないけど、頑張ってみようか
[rok507_001] ん……あれ？まー坊、いらっしゃい
[rok507_002] ああ、これ？ちょっと前から練習してるの
[rok507_003] まだまだ未熟で、人に聞かせられるレベルじゃないから隠してたんだけどね
[rok507_005] お客さんがいない時だけね。あ、あと、小春ちゃんやまー坊もいないとき
[rok507_006] 練習途中なのを聞かれるのは恥ずかしいからね……
[rok507_007] まだダメだよ。怒られてばっかりなんだから
[rok507_008] 旅館で働いてる人の中にね、昔芸者をやってる人がいて。その人からちょこっとね
[rok507_009] その人はたまたまだよ。芸者から旅館に転職して、この町で働くことになったんだって
[rok507_010] で、アタシも上手く弾けるようになれば、店のお客さんも増えるかもしれないと思ってね
[rok507_011] でもこれがなかなか……はぁ……
[rok507_012] ありがとう。でも格好いいか……できれば可愛い方が嬉しいなぁ、はぁ……
[rok507_013] そう言えば、学院の方はどう？なにか、変わったこととかない？例えば、その……こ、小春ちゃんのこととか
[rok507_014] そ、そっか、２人で一緒に登校……小春ちゃんってば意外と大胆な。ちょっと侮ってた……
[rok507_015] というか、社会人と学生の差っておっきぃなぁ……仕事ほっぽりだすわけにもいかないし……普通に負けちゃいそう
[rok507_016] いやいや。ここで諦めてちゃダメ。約束したんだから、頑張らないと……よしっ
[rok507_017] なんでもな。い
[rok507_018] それよりも、何か飲む？
[rok507_019] 畏まりました。少々お待ちください
[rok507_020] え、ええー……それは困るよ。まだまだ、聞かせられるレベルじゃないんだから
[rok507_021] それは、まあ……そうかもしれないけど……
[rok507_022] ちょっと、そんな真面目な顔しないでよ……そんな目で見られたら……断れないじゃない
[rok507_023] その前に、珈琲とプリンを用意してくるから、ちょっと待ってて
[rok507_024] ……ふぅ。……
[rok507_025] 以上、ありがとうございました
[rok507_026] あは、あはは……ありがとう
[rok507_027] ……あ、あはは……やっぱり格好いいなんだ
[rok507_028] まあ褒められてるだけマシか。それに……褒めてもらえるのは、嬉しいから
[rok507_029] そ、そう？アタシ、憧れの対象なんだ……？
[rok507_030] ……そ、それはさすがに、褒め過ぎだと思うけど……
[rok507_031] ありがとう、嬉しい
[rok507_032] そこまで思うのなら、憧れるだけじゃなくて、まー坊も三味線弾いてみる？
[rok507_033] アタシが教えてあげる。って、そんな大層な腕前じゃないんだけどね
[rok507_034] でも試しに少しだけ。ほら、こっちにおいで
[rok507_035] まずは、小指と薬指でお尻の方をしっかり握って、親指をここら辺にあてる
[rok507_036] それから、ギターなんかとは違って、三味線は指のお腹を使うんじゃないの。もっと指を立てて
[rok507_037] まー坊……まー坊ってば、ちょっと聞いてる？
[rok507_038] なにをボーっとしてるの。せっかく手ほどきしてあげてるのに
[rok507_039] 誰もいないんだから。初心者でも練習しやすいでしょ？
[rok507_040] それで、こうして、手首を回すようにして叩く
[rok507_041] 基本はこんな感じ。叩く糸によってちょっとずつ角度を変えて叩く
[rok507_042] ね？基本はそこまでむずかしくないでしょ？
[rok507_043] ところが、ちゃんとした曲をやろうとすると、途端に難しくなるんだよねぇ
[rok507_044] ……？まー坊？ねえ、ちゃんと話聞いてる
[rok507_045] こーら、ちゃんと話をきかないとダメでしょ
[rok507_046] どうして？
[rok507_047] 背中に、当たってる……？
[rok507_049] ―――ッ！？
[rok507_050] ああああ、あの、これは、別に、そういうつもりじゃなくてね、全然色仕掛けとかじゃなくて、変な意味は皆無で――
[rok507_051] っていうか、あああああ当たってるのって服の上からでもわかっちゃうとは思ってなくて
[rok507_052] ままままー坊ってば変なこと言わないでよー！
[rok507_053] そっそうだった、ごめんね、変なの押し付けちゃってごめんね！
[rok507_055] 気付いた時点で教えてくれればいいじゃない。背中でおっぱいを楽しみ続けるなんて……卑怯だよぉ、辱めだよぉ
[rok507_056] ……まー坊のすけべ
[rok507_057] あー、開き直った！
[rok507_058] ドキドキ……したんだ？
[rok507_059] そ、そっか……
[rok507_060] ……ちなみに……どうだった？アタシのおっぱいの感触……気持ちよかった？
[rok507_061] 。。。ッ、そそっ、そうだよね、アタシってば何を聞いてるんだろっ
[rok507_062] そ、そっか。でも……それぐらいドキドキさせたのなら、よかった……かも
[rok507_064] お母さん！？
[rok507_065] な、何してるの！？
[rok507_066] そ、そんなんじゃないから、変な気は回さなくていいの！
[rok507_067] さっ、さー、そろそろお店の片付けを始めちゃわないとね、あは、あははは
[rok507_068] じゃあまたね、まー坊
[rok507_069] あっ、まー坊！ちょうどいいところに！
[rok507_070] お煎餅の営業方法を思いついたの
[rok507_071] 旅館のお茶請け！
[rok507_072] そう。アレに出してもらったり、旅館のショップに置いてもらったり
[rok507_073] いきなり量産するのもリスクが高いから
[rok507_074] まずはそうやって、知ってもらうことが重要だと思うの
[rok507_075] ありがとう。それで、まずは……玄十郎さんに話をしに行こうかと思うんだけど
[rok507_076] そっか、よかった
[rok507_077] じゃあ、まずはアポを取って……
[rok507_078] わかってる。短いとはいえ、お店の経営に携わってきたんだから
[rok507_080] 本当？ありがとう、まー坊、助かる
[rok507_081] そこは悩みどころなんだよねぇ……
[rok507_082] 小春ちゃん、いくらなんでもお仕事中はダメだよ。？
[rok507_083] ふふふふふ
[rok507_084] このお店の味を決めるのはお父さんでしょ？歳だから、そういうことも含めて身体を大切にして欲しいんだけどね
[rok507_085] 今はお父さんに負担が集中しちゃってて
[rok507_086] だから、今後はお父さんに頼らなくてもいいメニューを増やしていきたいと思ってるの
[rok507_088] でも……何か覚えてくれるなら、嬉しいかも
[rok507_089] でもまあ、誰にでも最初はあるものだから。とりあえず……何かやってみない？
[rok507_090] 覚えてくれたら、技能給も考えるよ
[rok507_091] 本当？ありがとう、まー坊
[rok507_092] 思ってるんじゃない
[rok507_093] あー……なるほど。確かに、その考え方はありかも
[rok507_094] とりあえず、お父さんに話してみよっか
[rok507_095] ありゃ……案外、アッサリと認めるんだね
[rok507_096] うん、アタシも美味しいと思うよ、まー坊
[rok507_097] へぇー。お父さんがこんなに褒めるとは。やるねぇ、まー坊
[rok507_098] これは本当に技能給を考えないといけないかも……でも、まー坊が力になってくれるのはとってもありがたいよ
[rok507_099] あとは、新しいメニューも考えていかないとね
[rok508_001] ありがとうね、まー坊。こんなに努力してくれて
[rok508_002] それに、玄十郎さんにも話をしておいてくれて。おかげでスムーズだったよ
[rok508_003] とりあえずサンプルは食べてもらえるから、それ次第かな
[rok508_004] あとでも、玄十郎さんに色々教えてもらって、志那都荘の他の旅館も教えてもらった
[rok508_005] 上手くいけば、思ったよりも販路は広がりそうかも
[rok508_006] まだスタートラインにも立ててないよ。売るためにはここからが肝心
[rok508_007] で、売り上げは、まー坊の焼き上げる腕にかかってるんだから、よろしくね
[rok508_008] うーん……甘めを持ってきてザラメとかも定番だよね？
[rok508_009] 味を決めるのに、時間かかる？
[rok508_010] 最初はまず、醤油と味噌と和三盆の３種類で話をしておいていい？
[rok508_011] じゃあ、それで連絡はするとして……あと、味についてのアンケートも取れるといいんだけど
[rok508_012] さすがにそれをお願いすると、ハードルが高くなりそうだしね。よくある紙だけ置いてもらうことぐらいならできるかな……？
[rok509_001] 今日も一日お疲れ様、まー坊
[rok509_002] うん、ありがと。って……まだレジを締めちゃわないといけないんだけどね
[rok509_003] 話？改まって、一体なんだろ？
[rok509_004] そうなんだ？うん、わか――っへ？
[rok509_005] ま、まー坊の部屋って……い、今から？
[rok509_007] それって……
[rok509_008] それってぇぇぇぇぇぇぇぇ――
[rok509_009] ハッ、ハイ、シツレイシマス
[rok509_010] ハイ、イタダキマス
[rok509_011] キニシナイデ、イイデスカラ
[rok509_012] ハイ、ワカリマシタ
[rok509_013] き、来て、しまった……
[rok509_014] せ、セックス……のお誘い……
[rok509_015] やぁん！まー坊ってば大胆すぎるよぉ！いきなりセックスだなんて！
[rok509_016] こういう事には、もっと順序があるのに……それをすっ飛ばして、いきなりだなんて……
[rok509_017] もしそういう事なら、アタシもお風呂に入って身体を綺麗にしておきたいんだけど……
[rok509_019] 大胆すぎる……で、でも……若いんだから、仕方ないのかな……？
[rok509_020] ぅぅ……あ、アタシ……ちゃんとできるかな？初めてだけど……若い情欲を、満足させることが……
[rok509_022] はぁぁぁぁ……アタシ、まー坊に辱められちゃうんだぁぁぁ……
[rok509_024] ―――ッ
[rok509_026] あ、アタシ……アタシは……はぁ、はぁ、はぁ、はぁ、はぁ……
[rok509_028] だって、だってぇぇ、初めてなんだものぉーーー……って、まー坊……何を持ってるの？
[rok509_029] なにこれ？カキ氷？
[rok509_030] ん？んー……わ、わかった
[rok509_031] あむ……んっ、ちゅべたっ
[rok509_032] これ、抹茶……？口の中で溶けるみたいで……でも、味もしっかりとしてて、美味しい……
[rok509_033] こっちは茶色だね……あむ……もしかして、こっちは珈琲？
[rok509_034] ふーん……なんだか、カキ氷とシャーベットの中間みたいだね。味の余韻もあって……美味しいかも
[rok509_036] もしかして……これのために、アタシは呼ばれたの？
[rok509_037] そうじゃないけど。そうじゃないんだけどぉ……はぁぁ……なんかさ、緊張してた分、拍子抜け……
[rok509_038] そういうことなら早く言ってよぉ……まー坊のバカ、バカバカッ
[rok509_040] 何もしてないからでしょ、バカッ
[rok509_041] ……あ……ううん、アタシの方こそゴメン。勝手に勘違いをして、八つ当たりしちゃった
[rok509_042] まー坊がせっかく、お店のことを考えてくれたのに
[rok509_043] うん。いいかも。まー坊の言う通り、これからの季節にはピッタリだね
[rok509_044] 沢山種類があると嬉しいけど、その分作るのが大変か……でもせめて、何かフルーツでも作っておきたいなぁ
[rok509_045] あと……普通のシャーベットとは違う特徴があるといいね
[rok509_046] 日本酒？そういえば……日本酒アイスとかもあったね
[rok509_048] バニラアイスが爽やかな感じになって、しかも日本酒のおかげでリッチな味がする
[rok509_049] 本当においしー……あむ、あむ……
[rok509_050] この日本酒のグラニテとアイスの組み合わせ、アタシ好きかも。あむ……あむ……
[rok509_051] あむ……あむ……
[rok509_052] ん？ヘーキヘーキ。成人を迎えてますから。何の問題もありません
[rok509_054] あーむ♪
[rok509_056] よんだだけぇー、ひっく……
[rok509_057] まー坊、まー坊
[rok509_058] よんだだけぇー……あははー
[rok509_059] ……んふふ、まー坊は可愛いなー……
[rok509_060] 本当？うれしー！んふふふ
[rok509_062] なんで……なんでだろう……？
[rok509_064] 苦労をしると、力になりたいと思うようになって……手伝いを始めて……
[rok509_066] だからね、もっと多くの人に来て欲しい。たくさんのお客さんに、お父さんの味を知って欲しいんだ……ふふふ
[rok509_067] あー、でもこれ、お父さんには言っちゃダメだぞー
[rok509_068] 約束だからね？
[rok509_069] もっと撫。でて
[rok509_070] うん、ありがとー……ふふふ
[rok509_071] 好きだよ。こうして頭を撫でられるとねー、努力を認められたみたいで頑張った甲斐があったなーって、嬉しい
[rok509_072] 他の人にはナイショだよー？
[rok509_073] しないよ。そんなことしない……アタシが甘えたいのは……まー坊だけだもん
[rok509_075] お店のメニューのことまで考えてくれるなんて……バイトの領分を超えてるよ。なのに、なーんで？
[rok509_077] 可愛いなぁー……んふふふ……ふぅー……んんっ
[rok509_079] すー……すー……すー……
[rok509_081] あれ？　ここ……どこぉ……？
[rok509_082] アタシ、なんでこんなところで……うっ……頭痛い……
[rok509_083] まっ、ままままままー坊ッ！？な、なんで、アタシ、まー坊と一緒に……一緒ッ！？
[rok509_085] ――ッ！　頭、痛っ……
[rok509_086] まー坊、大声止めて……
[rok510_001] 本当ですか！ありがとうございます、玄十郎さん！
[rok510_002] ありがとうございます！
[rok510_003] 。。。
[rok510_004] そりゃもうね。今日説明しにいったところ全部で好評だったんだもん
[rok510_005] 今後とも、よろしくお願いします
[rok510_006] とはいえ、任せっきりにもできないし、アタシも焼き方を覚えないといけないかも
[rok510_007] ありがとう、小春ちゃん。でもアレ、結構難しいんだよね。アタシ、試しに一枚焼いてみたけど、全然うまくできなくて
[rok510_008] なにかコツってあるの、まー坊？
[rok510_009] それって……まー坊も、思い浮かべてる人がいるってこと？
[rok510_010] ……そっか……
[rok510_011] 負けちゃったかぁ……まあ、仕方ないよね
[rok510_012] あっ、そうだ！アタシ、まだ少し回るところがあったんだ
[rok510_013] それはお煎餅とは別件だから、アタシ１人でいい。だから気にしないで
[rok510_014] じゃあね、あとはよろしく、小春ちゃん
[rok510_015] ううん、こっちこそ。ありがとう
[rok510_016] え？あ、でも……
[rok510_017] ……ありがとう、小春ちゃん
[rok510_018] うん
[rok510_019] アレは……そうだなぁ……女の子だけの秘密の話だよ
[rok510_020] さっ、それよりもお店に戻ってグラニテの研究！
[rok510_021] 本格的に暑くなる前に、商品として仕上げちゃわないと。まー坊も手伝ってね
[rok510_022] 少しでも美味しくしないとね。そのためには……喜んでくれる人の笑顔を、思い浮かべるんだっけ？
[rok510_023] ふ、ふーん……そっか。ちなみに、ホントちなみになんだけど――
[rok510_024] そのまー坊が思い浮かべる笑顔って……だ、誰の笑顔？
[rok510_025] あっ、ゴメン！待った！やっぱ今のなし！聞かなかったことにして！
[rok510_026] そうだよね、そんなこと言えないよね、ゴメンゴメン、あははは
[rok510_027] ちょっ、ちょっと待った！
[rok510_028] いや、その……実はね、アタシもまー坊にお願いしたいことがあって
[rok510_030] ありがとう……。あっ、でもその前に深呼吸も。すー……はー……すぅーー……はぁーー……
[rok510_031] あ、あの……ね、まー坊……アタシは、その……
[rok510_032] まー坊にバイトしてもらってよかったと思ってる。店も一歩ずつ前進をしてて、売り上げも……いや言いたいのはそうじゃなくて
[rok510_033] とにかくアタシは……ええと、今回のグラニテのことも感謝してるし、お煎餅のことも、それから――
[rok510_034] ―──ッ！！
[rok510_036] それは……恥ずかしくってズバッと言えないよ……こんなこと、今まで口にしたことないんだから
[rok510_037] 。。。……ッ！
[rok510_038] まー坊、変なところだけ男らしいんだから。だからつい……頼っちゃう……
[rok510_039] そういうギャップを見せつけるのは、卑怯だよ……ナマイキだよ
[rok510_040] ……や、ヤだ……
[rok510_041] 彼女で止まるのはヤだ。彼女よりも……お嫁さんの方がいい……
[rok510_042] そういうわけじゃないけど……。どうせお願いされるなら、そっちの方がいい……
[rok510_044] 嬉しい……とっても嬉しいよ、まー坊の気持ち。アタシも同じだから
[rok510_045] まー坊のことが好き、幼馴染じゃない。異性として、１人の男性として好き
[rok510_046] だから、アタシをお嫁さんにして下さい！
[rok511_002] で、まー坊はいつものように厨房の片付けと掃除を手伝って
[rok511_003] とりあえず、その呼び方を止めたら話を聞いたげる
[rok511_004] お煎餅を？
[rok511_005] んー……まあ、練習するのは別にいいんだけど
[rok511_006] 仕方ない。アタシも残るか……
[rok511_007] まさかアルバイトを１人残して帰るわけにはいかないでしょう。まー坊を信用してないわけじゃないけど
[rok511_008] どうせ、事務作業が残ってるしね。ほら、やるならちゃっちゃとやる
[rok511_009] ………。さてと、それじゃあアタシは奥で仕事をしてるから
[rok511_010] 終わったら呼んでね。あと、あんまり遅くならないように
[rok511_011] これぐらい気にしないでいいから
[rok511_012] えええええぇぇぇぇぇぇぇぇぇぇぇ！？
[rok511_013] ちょっと仕入れ先の方でトラブルがあったみたいで
[rok511_014] 今からちょっと調整に行ってくる！
[rok511_015] 行かないと、明日のお店に差支えが出ちゃうのっ。じゃあ行ってくるから
[rok511_016] っとそうだそうだ。ちょっと時間がかかりそうだから、戸締りは任せる
[rok511_017] それ、スペアキーね。２人でしっかりと、戸締りをしてから帰ってね。悪いけど、よろしく
[rok512_001] ……ジー……
[rok512_002] いやねー、２人とも仲がいいなー、と
[rok512_003] 仲がいいのは前からだけど……なーんか雰囲気が違ってる気がするんだよね
[rok512_004] ……まー坊……やったでしょ？
[rok512_006] え？　言っちゃって……いいの？
[rok512_007] だから雰囲気。言葉では上手く言えないんだけど……２人の雰囲気が以前より親しくなってる気がする
[rok512_008] うーん……以前から見てて、事情を知ってれば、っていうレベルかな？
[rok512_009] そこまで露骨ではないと思うけど
[rok512_010] でもよかったよ、２人の仲が順調みたいで。そのまま幸せになってね、まー坊
[rok512_011] うん
[rok521_001] お、おはっ、よう……まー坊
[rok521_003] な、なによ……？
[rok521_004] そんなことしなくてもいいっ。報告しなきゃいけないようなこともないんだから
[rok521_005] お、お母さんっ！気が早いにもほどがあるっ！
[rok521_006] 大体……物事には順序と言うものがあるんだから
[rok521_007] 何をしっかりしろって言うのよ……
[rok521_009] わかってるっ！　だったら茶化さないで！
[rok521_010] ………ッ
[rok521_012] 小春ちゃん、おはよう
[rok521_013] 別にイチャついてたわけじゃ……お母さんが変なこと言うから……
[rok521_014] そ、そうね。意識をしっかり切り替えないと
[rok521_015] え？そ、そうかな……？
[rok521_017] えっ……
[rok521_018] ありがとう……小春ちゃん
[rok521_019] やっぱり……プロポーズは、重い？
[rok521_020] ―――ッッ
[rok521_021] まー坊ってば……そういうところは男らしいよね
[rok521_022] え？
[rok521_023] だ、だって……そんな嬉しい事言われたら、こうなっちゃうよ
[rok521_024] それ、どういう意味？
[rok521_025] ―――ッッ
[rok521_027] それは……その……な、なんでかなぁ？
[rok521_028] ぅぅっ……ゴメンナサイ。別に自慢したかったとか、そういう事じゃなくて
[rok521_029] 小春ちゃんには、その……色々とお世話になってて。だから、ちゃんと説明をしておきたくて
[rok521_030] ……怒ってる？
[rok521_031] 本当に？
[rok521_032] うんっ
[rok521_033] はーい
[rok521_034] うん。よろしく……ふふ
[rok521_036] そう？　ありがとう
[rok521_037] じゃあ、もっと頑張ってまー坊にいいとこ見せないとね
[rok521_038] ありがとう、小春ちゃん。じゃあ、もう上がってくれていいよ
[rok521_039] アタシも、レジをしめちゃわないとね
[rok521_040] ありがとう。でも、これはアタシがやるよ
[rok521_041] 売り上げがいくらで、何が売れて、何が売れなかったのか。それをちゃんと把握するのも、経営者の仕事だから
[rok521_042] ほら、もっと指を立てて。しっかりと勘所を押さえるの
[rok521_043] どうしたの？もしかして、働き過ぎて疲れちゃったかな？
[rok521_044] まー坊ってば、真面目に働いてくれてるもんね。ありがたいけど……倒れちゃダメだよ？
[rok521_045] じゃあ、なんで？
[rok521_047] ―――ッ！？
[rok521_048] アタシ、また……ゴメンね、まー坊……
[rok521_049] 心配？
[rok521_050] ないない、それはないよ。そりゃ、女の子にはぶつかったことがあるかもしれないけど……
[rok521_052] だから……年上としては非常に情けないんだけど、こういうことには全然慣れてなくって……
[rok521_053] なんか、色々ごめんね？
[rok521_054] そうなの？そんな風に言われちゃあ、弾かざるを得ないねぇ……ふふふ
[rok521_055] まだまだ練習が足りないよ。もっと精進しないとね
[rok521_056] わかってる、ありがとう。まー坊の気持ちは本当に嬉しいよ
[rok521_057] でもね、お店で披露するってなったらお客さんは期待しちゃうじゃない
[rok521_058] サービス、タダでやってるからっていっても、評価の目は変わらない。下手するとお店の邪魔になっちゃうから
[rok521_059] そういうこと。だから、師匠に認めてもらえるまで、お客さんの前ではやらない
[rok521_060] そういう考え方もできるかも
[rok521_061] できないよ、家で練習なんて。隣の部屋から文句が出ちゃう
[rok521_062] うん。……あっ、そっか。まー坊には言ってなかったっけ？
[rok521_063] アタシ、１人暮らししてるの
[rok521_064] そうなんだけどねー……家を追い出されちゃって
[rok521_065] 『実家暮らしのままだと家事も上達しないし、結婚する気がなくなるかもしれない』
[rok521_066] ――って、お母さんが言い出してね。それで追い出されたわけ
[rok521_067] 楽ではないね。身の回りのことは自分でするしかないから。実家のありがたみが身に染みるよ
[rok521_068] はぁ……家に帰るだけでご飯が出てくる環境に戻りたい……
[rok521_069] たまには楽する日もあるし、お母さんに頼ることもあるけど、基本的にはちゃんと作ってるよ
[rok521_070] ちゃんとできるんだからね
[rok521_071] まー坊……信じてないでしょ？
[rok521_072] これでも和菓子職人の娘だし、そこそこ自信はあるよ
[rok521_073] いつかまー坊にも食べさせてあげる
[rok521_074] と、言うか………………もしよければ、ウチにくる？
[rok521_075] 今から。まー坊さえよければ、ちょっと遅くなっちゃったけど夕食を、一緒にどう……？
[rok521_076] うん。アタシの手料理……食べて、みる？
[rok521_077] い、いらっしゃーい……
[rok521_078] あ、あんまりジロジロ見ないで。恥ずかしいから
[rok521_079] なにそれ。もしかして、散らかしっぱなしだと思ってた？
[rok521_080] そりゃね、そういう事が出来るように、家を追い出されたんだから
[rok521_081] 適当に座ってて。すぐに準備するから
[rok521_082] うん。食材はある程度買いだめしてるから
[rok521_083] じゃあ、すぐに作っちゃうね
[rok521_084] 。。。
[rok521_085] さあ、どうぞ
[rok521_086] ど、どうかな……？
[rok521_087] ふっふ。ん。まいったか
[rok521_088] ふふふ……でもよかったぁ。本当はドキドキだったの
[rok521_089] だって１人分と２人分を作るのじゃ、勝手が違うんだよ
[rok521_090] でも失敗するわけにはいかないから、必死に味の確認をして。いつもより気を遣ったよ
[rok521_091] よかったぁぁ……誰かに食べてもらうなんて初めてだから。アタシが味音痴だったらどうしようかと
[rok521_092] そっ、そっか……ふふ……喜んでもらえたならよかったぁ
[rok521_093] そういう言い方されると、なんだか嘘くさい。大げさすぎるよ
[rok521_094] ……ふふ……本当だ。嘘じゃないね、その食べっぷりは
[rok521_095] ご飯のお代わりいる？
[rok521_096] 流石男の子。ちょっと多めに炊いてよかったぁ
[rok521_097] 本当？２人分でいつもと量が違うから、ちょっと濃くなった気もするんだけど
[rok521_098] そっかそっか。それならよかった、偶然でもなんでも成功して。でも……いつまでも、こんなこと言ってられないよね
[rok521_099] ちゃんと２人分作ることにも慣れていかないと
[rok521_100] ……うん
[rok521_101] なんのなんのこれぐらい
[rok521_102] というよりも、まー坊の方こそ。美味しそうに食べてくれてありがとう
[rok521_103] さてと……それじゃあ片付けちゃおうかな
[rok521_104] いいの、今日はアタシが全部するから気にしないで
[rok521_105] それより、デザートはどうかな？
[rok521_106] うん。あるよ、これも手作りなんだから
[rok521_107] って……ちょっと煽り過ぎたかな？そんな大したものじゃないから、期待はしないで
[rok521_108] それにこれは……まー坊から教えてもらった物だしね
[rok521_109] そう。色々試してみてるんだよね。抹茶と珈琲と、もう一つぐらいは他に味があってもいいと思って
[rok521_110] そこまで手間がかからないから
[rok521_111] うん。お父さんに意見を聞けば、多分アドバイスはくれると思う
[rok521_112] でもお父さんの負担を軽くするために新しいメニューを増やしたいんだから
[rok521_113] お父さんの力をあてにせず、メニューを増やせるようにしないとね
[rok521_114] って言っても……アイディアはまー坊に頼ってばっかりだから、偉そうなことは言えないんだけどね
[rok521_115] そりゃそうかもしれないけど……現状は、支え合ってるんじゃなくて、一方的に支えてもらってるからねぇ
[rok521_116] まー坊ってば、本当に口が達者なんだから
[rok521_117] そうだね。感想、よろしくお願いします
[rok521_118] そう。おすそ分けで梅酒やら、アルコール抜きの梅シロップなんかをもらうこともあって
[rok521_119] 試しにそれで作ってみたの
[rok521_120] 実はねー、これはソーダ割りなんだよ
[rok521_121] これが結構大変で。最初、他と同じように作ったら凍る最中に炭酸が抜けちゃったみたいなんだよね
[rok521_122] だから今度は炭酸が抜けないように容器で凍らせて
[rok521_123] 炭酸水で作ると、今度はすっごい容量が増えたり、かき混ぜすぎたらやっぱり炭酸が抜けちゃったり
[rok521_124] まあ、色々苦労したよ……
[rok521_125] そう言ってもらえると。でもあと一押し……味に特徴が欲しい気がするんだよね。梅だけだと味が弱いのかも
[rok521_126] 何を加えればいいんだろう……単純に甘くするだけでも、デザートとしてはいけるかもしれないけど……
[rok521_127] そこら辺は、色々と試してみる価値がありそう……かな。もっと研究しないと
[rok521_128] ん？なに？
[rok521_129] ……そ、そう？
[rok521_130] あー……あの頃は若かったからねぇ
[rok521_131] もしかして……まー坊、色気でアタシを選んでくれたの？
[rok521_132] それは……女としては嬉しいような、いやでもときめいてないって風にも取れるから……むむむっ
[rok521_133] うーん……もう一声！
[rok521_134] まあまあ、細かいことはいいじゃない。だって言って欲しいんだもん
[rok521_135] よさ、そう？その評価はなんだか微妙じゃない？
[rok521_136] そうかな？
[rok521_137] ……言われてみると、そうかも……
[rok521_138] ま、まー坊……興味、ある？
[rok521_139] うん……かっ、確認……してみたい？
[rok521_140] まー坊ってば……がっつき過ぎ……
[rok521_141] 別に……無理してるわけじゃ、ない
[rok521_142] アタシだって……まー坊のことが好きで……まー坊にドキドキしてる……女の子だよ？
[rok521_143] このタイミングで変なツッコミを入れるのは、この口かっ！この口かっ！
